web-scraper-order,web-scraper-start-url,Date,Open,Close*
"1616515779-99","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 30, 2020","203.50","202.47"
"1616515779-280","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 19, 2020","0.51 Dividend","null"
"1616515779-208","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 29, 2020","182.73","183.25"
"1616515779-272","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 28, 2020","152.41","162.01"
"1616515779-48","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 13, 2021","214.02","216.34"
"1616515779-94","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 06, 2020","222.26","223.72"
"1616515779-288","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 06, 2020","180.97","183.63"
"1616515779-56","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 31, 2020","221.70","222.42"
"1616515779-116","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 07, 2020","207.06","209.83"
"1616515779-301","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 17, 2020","167.42","167.10"
"1616515779-262","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 13, 2020","147.50","158.83"
"1616515779-103","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 26, 2020","213.85","210.08"
"1616515779-170","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 23, 2020","207.19","202.54"
"1616515779-289","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 05, 2020","184.03","179.90"
"1616515779-273","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 27, 2020","163.32","158.18"
"1616515779-88","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 16, 2020","214.87","217.23"
"1616515779-304","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 14, 2020","163.39","162.13"
"1616515779-142","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 31, 2020","227.00","225.53"
"1616515779-10","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 09, 2021","232.88","233.78"
"1616515779-97","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 03, 2020","203.89","206.43"
"1616515779-239","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 16, 2020","174.30","177.04"
"1616515779-31","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 08, 2021","243.15","242.47"
"1616515779-215","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 20, 2020","0.51 Dividend","null"
"1616515779-32","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 05, 2021","242.23","242.20"
"1616515779-11","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 08, 2021","231.37","227.39"
"1616515779-87","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 17, 2020","216.10","214.46"
"1616515779-169","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 24, 2020","200.42","201.30"
"1616515779-165","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 30, 2020","201.00","203.90"
"1616515779-74","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 04, 2020","214.22","214.36"
